market,commodity,segment,band,charge_type,charge_name,uom,value,currency,value_native,uom_native,effective_from,effective_to,version,source_doc,source_page,notes
ROI,ELEC,SME,FLAT,NETWORK,ESB DUoS DG5 unit rate (24hr),EUR_MWH,65.32000000000001,EUR,6.532,c/kWh,2025-10-01,2026-09-30,1,ESB Networks DUoS,19,Converted c/kWh to €/MWh (x10).
ROI,ELEC,SME,DAY,NETWORK,ESB DUoS DG5 unit rate (Day),EUR_MWH,76.39,EUR,7.639,c/kWh,2025-10-01,2026-09-30,1,ESB Networks DUoS,19,Day/Night meter rates.
ROI,ELEC,SME,NIGHT,NETWORK,ESB DUoS DG5 unit rate (Night),EUR_MWH,9.33,EUR,0.933,c/kWh,2025-10-01,2026-09-30,1,ESB Networks DUoS,19,Day/Night meter rates.
ROI,ELEC,IC,PEAK,NETWORK,ESB DUoS DG7 unit rate (Peak),EUR_MWH,16.209999999999997,EUR,1.621,c/kWh,2025-10-01,2026-09-30,1,ESB Networks DUoS,22,"DG7 has Day/Peak/Night. For peak/offpeak product, OFFPEAK mapped to Day (ex-peak)."
ROI,ELEC,IC,OFFPEAK,NETWORK,ESB DUoS DG7 unit rate (Offpeak mapped to Day),EUR_MWH,14.74,EUR,1.474,c/kWh,2025-10-01,2026-09-30,1,ESB Networks DUoS,22,Assumption: OFFPEAK uses DG7 Day rate (ex-peak). Night not modeled in 2-band product.
ROI,ELEC,SME,DAY,NETWORK,EirGrid TUoS DTS-D2 (Day: cap+transfer+SS),EUR_MWH,40.0265,EUR,40.0265,EUR/MWh,2025-10-01,2026-09-30,1,EirGrid TUoS,8,Computed: 9.2473 (day capacity) + 4.09 (transfer) + 26.6892 (system services).
ROI,ELEC,SME,NIGHT,NETWORK,EirGrid TUoS DTS-D2 (Night: transfer+SS),EUR_MWH,30.7792,EUR,30.7792,EUR/MWh,2025-10-01,2026-09-30,1,EirGrid TUoS,8,Computed: 4.09 + 26.6892. Day capacity charge not applied at night.
ROI,ELEC,SME,FLAT,NETWORK,EirGrid TUoS DTS-D2 (Flat blended),EUR_MWH,36.5587625,EUR,36.5587625,EUR/MWh,2025-10-01,2026-09-30,1,EirGrid TUoS,8,Blended using DayHours share 15/24 for flat product (documented assumption).
ROI,ELEC,SME,ALL,LEVY,CRU PSO levy (Small commercial) per customer per month,EUR_PER_CUST_PER_MONTH,3.23,EUR,3.23,€/cust/month,2025-10-01,2026-09-30,1,CRU PSO Levy Final Decision,7,Fixed levy - add to annual bill as 12x monthly. Not an energy €/MWh charge.
ROI,ELEC,IC,ALL,LEVY,CRU PSO levy (Medium/Large) per kVA per month,EUR_PER_KVA_PER_MONTH,0.96,EUR,0.96,€/kVA/month,2025-10-01,2026-09-30,1,CRU PSO Levy Final Decision,7,Capacity-based levy - requires MIC kVA to compute annual cost.
