Date,Time,EUR,GBP,NI Volume (MWh),NI Net position (MWh),ROI Volume (MWh),ROI Net position (MWh)
"2025-12-21","23:00",109.81,"96.24",884,220.7,3827.1,-220.7
"2025-12-21","23:30",97,"85.01",842.2,200.7,3676.7,-200.7
"2025-12-22","00:00",97.49,"85.44",841.1,192.8,3677.7,-192.8
"2025-12-22","00:30",92.5,"81.07",833.6,198.4,3620.3,-198.4
"2025-12-22","01:00",108.65,"95.22",884.1,201.9,3744.7,-201.9
"2025-12-22","01:30",97.49,"85.44",875.4,211.9,3680.4,-211.9
"2025-12-22","02:00",105.34,"92.32",885.2,275,3832.2,-275
"2025-12-22","02:30",105,"92.02",895.5,297.6,3816.3,-297.6
"2025-12-22","03:00",103.72,"90.90",911.6,318.6,3812.4,-318.6
"2025-12-22","03:30",96.99,"85.00",893.2,309.7,3764.4,-309.7
"2025-12-22","04:00",98.43,"86.27",866.5,277.9,3724.8,-277.9
"2025-12-22","04:30",97.49,"85.44",816.9,225.5,3650.3,-225.5
"2025-12-22","05:00",104.17,"91.30",884.1,238.4,3657.7,-238.4
"2025-12-22","05:30",101.21,"88.70",854.1,217,3657,-217
"2025-12-22","06:00",110.24,"96.62",898.5,177.7,3613.4,-177.7
"2025-12-22","06:30",131.5,"115.25",889.9,66.6,3836.3,-66.6
"2025-12-22","07:00",155.4,"136.20",945.5,78,4168.4,-78
"2025-12-22","07:30",243.88,"213.74",972.2,-0.9,4438.9,0.9
"2025-12-22","08:00",195,"170.90",1257.6,165.6,4567.6,-165.6
"2025-12-22","08:30",237.32,"207.99",1282.4,154.5,4622.4,-154.5
"2025-12-22","09:00",240.56,"210.83",1360.7,205.7,4797.1,-205.7
"2025-12-22","09:30",247.55,"216.96",1403.2,224.1,4865.8,-224.1
"2025-12-22","10:00",241.8,"211.92",1390.1,195,4864.2,-195
"2025-12-22","10:30",241.49,"211.65",1353.9,159.5,4862,-159.5
"2025-12-22","11:00",234.12,"205.19",1357.5,131.6,4853.7,-131.6
"2025-12-22","11:30",201.81,"176.87",1349.9,146.4,4842.9,-146.4
"2025-12-22","12:00",191,"167.40",1347.7,136.2,4843.8,-136.2
"2025-12-22","12:30",191,"167.40",1359.8,142.4,4843.9,-142.4
"2025-12-22","13:00",185.55,"162.62",1336.3,127.7,4811.4,-127.7
"2025-12-22","13:30",185.36,"162.45",1333,142.4,4788.1,-142.4
"2025-12-22","14:00",191,"167.40",1334.7,160.1,4797.5,-160.1
"2025-12-22","14:30",191,"167.40",1326,152.5,4792.7,-152.5
"2025-12-22","15:00",178.6,"156.53",1295.8,110.8,4819.9,-110.8
"2025-12-22","15:30",193.38,"169.48",1327.3,131.7,4902.5,-131.7
"2025-12-22","16:00",238.4,"208.94",1349.8,118.9,5017.9,-118.9
"2025-12-22","16:30",281.76,"246.94",1420.6,186.6,5217.7,-186.6
"2025-12-22","17:00",260,"227.87",1380,136.1,5300.5,-136.1
"2025-12-22","17:30",250.82,"219.82",1371,150.1,5325.3,-150.1
"2025-12-22","18:00",243.05,"213.01",1341.6,164.6,5248.5,-164.6
"2025-12-22","18:30",227.46,"199.35",1299,157.2,5079.9,-157.2
"2025-12-22","19:00",207.54,"181.89",1327.7,232.3,4941.2,-232.3
"2025-12-22","19:30",191.33,"167.69",1325.6,256.7,4873.2,-256.7
"2025-12-22","20:00",216.48,"189.73",1248.3,205.3,4724.8,-205.3
"2025-12-22","20:30",186.18,"163.17",1252.1,240.3,4631.6,-240.3
"2025-12-22","21:00",285,"249.78",961.4,-11.3,4516.7,11.3
"2025-12-22","21:30",243.88,"213.74",941.3,13.2,4353.5,-13.2
"2025-12-22","22:00",166.59,"146.00",913.7,25.9,4202.5,-25.9
"2025-12-22","22:30",155,"135.85",906.9,75.8,4054.5,-75.8
