Date,Time,EUR,GBP,NI Volume (MWh),NI Net position (MWh),ROI Volume (MWh),ROI Net position (MWh)
"2025-09-30","23:00",87.79,"76.71",883.2,118.4,3465.7,-118.4
"2025-09-30","23:30",83.52,"72.98",904.8,164.5,3529.1,-164.5
"2025-10-01","00:00",79.26,"69.26",803.2,184.5,3384.2,-184.5
"2025-10-01","00:30",78,"68.16",835.9,209,3446.9,-209
"2025-10-01","01:00",74.95,"65.49",818.2,221.7,3458,-221.7
"2025-10-01","01:30",73.56,"64.28",804.9,211.6,3411.8,-211.6
"2025-10-01","02:00",73.43,"64.16",898.9,283,3512.3,-283
"2025-10-01","02:30",73.43,"64.16",893.9,283,3509.6,-283
"2025-10-01","03:00",72.47,"63.33",887.1,279.8,3508.7,-279.8
"2025-10-01","03:30",72.45,"63.31",887.2,283.8,3522.5,-283.8
"2025-10-01","04:00",72.15,"63.05",879.5,277.1,3507.5,-277.1
"2025-10-01","04:30",72.1,"63.00",847.6,243.4,3464.2,-243.4
"2025-10-01","05:00",74,"64.66",832.4,145.6,3355.9,-145.6
"2025-10-01","05:30",75.53,"66.00",843.4,72.7,3248.8,-72.7
"2025-10-01","06:00",94,"82.14",835.3,133,3523.7,-133
"2025-10-01","06:30",97.6,"85.28",917.7,164,3544.8,-164
"2025-10-01","07:00",117.15,"102.37",1028.8,201.1,3811.9,-201.1
"2025-10-01","07:30",121.54,"106.20",1081.4,171.5,3800.8,-171.5
"2025-10-01","08:00",117.51,"102.68",1094.4,108.3,3950.9,-108.3
"2025-10-01","08:30",118.01,"103.12",1123.8,75.2,3990.1,-75.2
"2025-10-01","09:00",105.28,"92.00",1171.7,120.7,4019.1,-120.7
"2025-10-01","09:30",101.25,"88.47",1182.7,157.1,4068.2,-157.1
"2025-10-01","10:00",89.26,"78.00",1120.2,86.5,4022.8,-86.5
"2025-10-01","10:30",87.29,"76.28",1208.9,178.9,4024.7,-178.9
"2025-10-01","11:00",85.3,"74.54",1153.3,113.4,4024.2,-113.4
"2025-10-01","11:30",84.79,"74.09",1173.5,135.3,4059.8,-135.3
"2025-10-01","12:00",83.99,"73.39",1098.6,66.5,4028.3,-66.5
"2025-10-01","12:30",83.98,"73.38",1113.7,97,4011,-97
"2025-10-01","13:00",82.93,"72.47",1066.9,70.7,3978.2,-70.7
"2025-10-01","13:30",82.93,"72.47",1007.3,32.1,3947,-32.1
"2025-10-01","14:00",84.69,"74.00",955.6,-2.7,3981.6,2.7
"2025-10-01","14:30",84.57,"73.90",940.5,-8.7,3957.2,8.7
"2025-10-01","15:00",88.12,"77.00",952.1,27.8,3914.5,-27.8
"2025-10-01","15:30",88.25,"77.11",922.6,-32.2,3950.8,32.2
"2025-10-01","16:00",93.84,"82.00",932.7,-181.9,4168.8,181.9
"2025-10-01","16:30",96.07,"83.95",944,-199,4112,199
"2025-10-01","17:00",115,"100.49",928.6,-59.5,4037.8,59.5
"2025-10-01","17:30",118.16,"103.25",932.2,-61.2,4080.2,61.2
"2025-10-01","18:00",127.15,"111.11",958.9,-97.7,4160.5,97.7
"2025-10-01","18:30",128.17,"112.00",953.9,-112.9,4133.6,112.9
"2025-10-01","19:00",120.77,"105.53",939.8,-12.7,4020.6,12.7
"2025-10-01","19:30",119.41,"104.34",941.7,-5.8,4055.5,5.8
"2025-10-01","20:00",101.84,"88.99",962.5,43.7,3950.6,-43.7
"2025-10-01","20:30",99.45,"86.90",908.2,19.9,3872.6,-19.9
"2025-10-01","21:00",92.89,"81.17",923.5,73.8,3790,-73.8
"2025-10-01","21:30",89.09,"77.85",810,-38,3802.1,38
"2025-10-01","22:00",88.82,"77.61",911.7,142.3,3549.5,-142.3
"2025-10-01","22:30",84.78,"74.08",806.8,74.7,3475,-74.7
